45.0   0.0251      0.020   0.525   0.187   0.525   4.3   1.2   1.6   3.8 
45.0   0.0800      0.006   0.396   0.091   0.396   7.6   2.1   3.5   6.4 
60.0   0.00200     0.332   1.245   0.231   1.263   2.1   1.0   1.7   0.7 
60.0   0.00320     0.208   1.052   0.227   1.057   1.9   1.1   1.4   0.7 
60.0   0.00500     0.133   0.900   0.223   0.902   3.1   1.2   1.6   2.3 
60.0   0.00800     0.083   0.803   0.218   0.804   2.8   1.3   1.6   1.9 
60.0   0.0130      0.051   0.683   0.208   0.683   2.9   1.4   1.7   2.0 
60.0   0.0200      0.033   0.597   0.192   0.597   4.1   1.7   1.8   3.2 
60.0   0.0398      0.017   0.506   0.145   0.506   4.7   1.8   1.9   3.9 
60.0   0.130       0.005   0.360   0.057   0.360   9.4   3.0   3.8   8.1 
90.0   0.00320     0.311   1.107   0.221   1.120   2.6   1.4   1.8   1.2 
90.0   0.00500     0.199   0.999   0.216   1.004   2.2   1.3   1.5   0.9 
90.0   0.00800     0.124   0.845   0.209   0.846   3.3   1.5   1.7   2.5 
90.0   0.0130      0.076   0.728   0.197   0.728   2.8   1.6   1.8   1.4 
90.0   0.0200      0.050   0.618   0.180   0.618   3.9   1.8   1.9   2.8 
90.0   0.0398      0.025   0.506   0.135   0.506   3.8   2.0   1.9   2.7 
90.0   0.130       0.008   0.339   0.053   0.339   4.8   3.3   2.0   2.9 
120.0   0.00500     0.266   1.011   0.210   1.019   3.7   2.4   2.1   1.9 
120.0   0.00800     0.166   0.839   0.202   0.841   3.0   1.9   1.8   1.4 
120.0   0.0130      0.102   0.744   0.190   0.745   4.6   2.1   2.0   3.6 
120.0   0.0200      0.066   0.604   0.173   0.605   4.0   2.3   2.1   2.5 
120.0   0.0320      0.041   0.558   0.145   0.558   5.8   2.8   2.5   4.5 
120.0   0.0631      0.021   0.462   0.094   0.462   4.9   3.0   2.7   2.9 
120.0   0.200       0.007   0.312   0.037   0.312  10.6   4.8   4.8   8.2 
150.0   0.0200      0.083   0.709   0.167   0.709   8.9   4.4   3.8   6.6 
150.0   0.0320      0.052   0.550   0.140   0.550   8.0   5.1   4.1   4.7 
150.0   0.0631      0.026   0.418   0.090   0.418   9.0   5.7   4.4   5.4 
150.0   0.200       0.008   0.296   0.036   0.296  12.9   8.4   7.1   6.7 

#*************************************************************************
#*  H1 data of 96/97, Luminosity = 17.9 pb-1
#*************************************************************************
#*                                                  errors in % of sigma_r:
#*q2/GeV2    x         y    sigma_r    R      F2    total  stat  unc. corr.
#*
