xp Q2 beta xp*sigmaD(3) unc sys tot
0.0030 25.0 0.4300 0.03706 2.0 3.0 3.6
0.0030 25.0 0.6700 0.03909 2.4 3.4 4.2
0.0030 35.0 0.1700 0.03132 2.5 3.3 4.1
0.0030 35.0 0.2700 0.03330 2.0 2.9 3.6
0.0030 35.0 0.4300 0.03691 2.1 3.1 3.7
0.0030 35.0 0.6700 0.03975 2.5 3.7 4.4
0.0030 45.0 0.2700 0.03306 2.4 3.0 3.9
0.0030 45.0 0.4300 0.03872 2.3 3.0 3.8
0.0030 45.0 0.6700 0.03844 2.8 3.7 4.6
0.0030 60.0 0.4300 0.03776 2.7 3.1 4.1
0.0030 60.0 0.6700 0.03728 3.1 3.7 4.8
0.0030 90.0 0.6700 0.03532 5.4 4.4 6.9
0.0100 3.5 0.0050 0.02678 16.0 6.1 17.1
0.0100 3.5 0.0080 0.02007 6.7 4.3 7.9
0.0100 3.5 0.0130 0.01938 6.8 3.9 7.9
0.0100 3.5 0.0200 0.01632 6.3 3.5 7.2
0.0100 3.5 0.0320 0.01795 9.3 4.0 10.1
0.0100 3.5 0.0500 0.01554 9.8 3.7 10.5
0.0100 3.5 0.0800 0.01729 11.0 4.4 11.8
0.0100 5.0 0.0080 0.02647 7.5 4.8 8.9
0.0100 5.0 0.0130 0.02361 6.7 4.0 7.8
0.0100 5.0 0.0200 0.02137 6.4 3.6 7.4
0.0100 5.0 0.0320 0.02000 6.3 3.5 7.2
0.0100 5.0 0.0500 0.01922 6.3 3.5 7.2
0.0100 5.0 0.0800 0.01657 6.9 3.9 8.0
0.0100 6.5 0.0130 0.02516 7.2 3.8 8.1
0.0100 6.5 0.0200 0.02356 6.9 3.3 7.7
0.0100 6.5 0.0320 0.02270 6.4 3.3 7.2
0.0100 6.5 0.0500 0.02205 6.8 3.5 7.6
0.0100 6.5 0.0800 0.01938 5.9 3.6 6.9
0.0100 6.5 0.1300 0.01757 6.7 3.4 7.5
0.0100 8.5 0.0130 0.03654 9.2 4.0 10.0
0.0100 8.5 0.0200 0.03174 6.2 3.8 7.3
0.0100 8.5 0.0320 0.03085 5.8 3.4 6.7
0.0100 8.5 0.0500 0.02431 6.1 3.2 6.9
0.0100 8.5 0.0800 0.02142 5.9 3.5 6.8
0.0100 8.5 0.1300 0.01919 6.1 3.6 7.1
0.0100 8.5 0.2000 0.01961 7.2 3.3 7.9
0.0100 12.0 0.0200 0.03014 3.9 3.3 5.1
0.0100 12.0 0.0320 0.02966 3.8 3.2 5.0
0.0100 12.0 0.0500 0.02732 3.7 3.2 4.9
0.0100 12.0 0.0800 0.02545 3.6 3.2 4.8
0.0100 12.0 0.1300 0.02165 3.8 3.2 4.9
0.0100 12.0 0.2000 0.02283 4.2 3.1 5.2
0.0100 12.0 0.3200 0.02420 5.1 3.1 6.0
0.0100 15.0 0.0200 0.03639 14.5 5.8 15.6
0.0100 15.0 0.0320 0.03226 3.2 3.4 4.7
0.0100 15.0 0.0500 0.03067 3.1 3.3 4.6
0.0100 15.0 0.0800 0.02573 3.2 3.3 4.6
0.0100 15.0 0.1300 0.02381 3.0 3.3 4.5
0.0100 15.0 0.2000 0.02299 3.0 3.3 4.5
0.0100 15.0 0.3200 0.02456 3.3 3.1 4.5
0.0100 20.0 0.0320 0.03445 4.0 3.3 5.2
0.0100 20.0 0.0500 0.03209 3.3 3.4 4.8
0.0100 20.0 0.0800 0.02971 3.5 3.3 4.8
0.0100 20.0 0.1300 0.02658 3.1 3.2 4.5
0.0100 20.0 0.2000 0.02542 3.4 3.2 4.7
0.0100 20.0 0.3200 0.02663 3.1 3.2 4.4
0.0100 20.0 0.5000 0.02870 3.7 3.2 4.8
0.0100 25.0 0.0320 0.03306 19.8 6.4 20.8
0.0100 25.0 0.0500 0.03307 3.2 3.5 4.8
0.0100 25.0 0.0800 0.03202 3.2 3.4 4.7
0.0100 25.0 0.1300 0.02889 3.2 3.4 4.6
0.0100 25.0 0.2000 0.02686 3.0 3.3 4.5
0.0100 25.0 0.3200 0.02769 3.1 3.4 4.6
0.0100 25.0 0.5000 0.03028 3.4 3.3 4.7
0.0100 25.0 0.8000 0.02928 7.0 3.8 7.9
0.0100 35.0 0.0500 0.03551 4.1 3.5 5.3
0.0100 35.0 0.0800 0.03243 3.8 3.3 5.0
0.0100 35.0 0.1300 0.03161 3.2 3.3 4.6
0.0100 35.0 0.2000 0.02963 3.3 3.1 4.5
0.0100 35.0 0.3200 0.02729 3.2 3.7 4.9
0.0100 35.0 0.5000 0.03171 3.5 3.1 4.7
0.0100 35.0 0.8000 0.02840 4.3 3.5 5.5
0.0100 45.0 0.0800 0.03368 4.1 3.3 5.3
0.0100 45.0 0.1300 0.03212 3.4 3.2 4.6
0.0100 45.0 0.2000 0.02994 3.4 3.2 4.7
0.0100 45.0 0.3200 0.02910 3.3 3.5 4.8
0.0100 45.0 0.5000 0.03255 3.7 3.0 4.8
0.0100 45.0 0.8000 0.02606 4.5 3.5 5.7
0.0100 60.0 0.1300 0.03316 4.1 3.1 5.2
0.0100 60.0 0.2000 0.03013 3.3 3.3 4.7
0.0100 60.0 0.3200 0.03138 3.4 3.1 4.6
0.0100 60.0 0.5000 0.03225 3.6 3.7 5.2
0.0100 60.0 0.8000 0.02516 4.0 3.7 5.4
0.0100 90.0 0.2000 0.03061 5.0 3.5 6.2
0.0100 90.0 0.3200 0.03095 4.3 3.1 5.2
0.0100 90.0 0.5000 0.03039 3.8 3.3 5.1
0.0100 90.0 0.8000 0.02396 4.3 3.6 5.7
0.0100 200.0 0.3200 0.03210 6.8 8.5 10.9
0.0100 200.0 0.5000 0.03150 6.4 8.8 10.9
0.0100 200.0 0.8000 0.02110 8.7 8.0 11.8
0.0100 400.0 0.8000 0.01960 13.8 9.6 16.7
0.0300 3.5 0.0017 0.01919 29.3 8.7 30.6
0.0300 3.5 0.0027 0.02575 18.0 8.6 19.9
0.0300 3.5 0.0043 0.02418 17.0 7.8 18.7
0.0300 3.5 0.0067 0.02030 16.9 6.9 18.2
0.0300 3.5 0.0110 0.01811 17.6 6.8 18.9
0.0300 5.0 0.0027 0.03776 21.1 14.3 25.5
0.0300 5.0 0.0043 0.03206 17.8 6.3 18.9
0.0300 5.0 0.0067 0.02984 16.2 7.1 17.7
0.0300 5.0 0.0110 0.02269 17.7 6.4 18.9
0.0300 5.0 0.0170 0.02157 16.7 7.3 18.2
0.0300 6.5 0.0027 0.04277 34.1 8.7 35.2
0.0300 6.5 0.0043 0.02261 18.4 7.9 20.1
0.0300 6.5 0.0067 0.02536 17.3 7.0 18.6
0.0300 6.5 0.0110 0.02534 17.4 7.0 18.7
0.0300 6.5 0.0170 0.02571 17.0 5.5 17.9
0.0300 6.5 0.0270 0.02512 16.3 6.6 17.6
0.0300 6.5 0.0430 0.02256 16.8 6.1 17.9
0.0300 8.5 0.0043 0.03435 23.1 8.8 24.7
0.0300 8.5 0.0067 0.02474 18.6 5.1 19.3
0.0300 8.5 0.0110 0.03042 16.1 5.7 17.1
0.0300 8.5 0.0170 0.02617 15.8 6.3 17.0
0.0300 8.5 0.0270 0.02631 15.3 6.4 16.6
0.0300 8.5 0.0430 0.02782 17.1 6.1 18.1
0.0300 12.0 0.0067 0.03331 22.0 5.8 22.7
0.0300 12.0 0.0110 0.03641 16.7 4.9 17.4
0.0300 12.0 0.0170 0.03224 16.3 6.7 17.6
0.0300 12.0 0.0270 0.03637 16.1 6.5 17.4
0.0300 12.0 0.0430 0.02906 17.5 5.5 18.4
0.0300 12.0 0.0670 0.02413 17.6 5.2 18.3
0.0300 15.0 0.0067 0.04792 19.4 6.4 20.4
0.0300 15.0 0.0110 0.03531 13.7 6.6 15.2
0.0300 15.0 0.0170 0.03527 12.6 6.4 14.1
0.0300 15.0 0.0270 0.03085 13.3 5.9 14.5
0.0300 15.0 0.0430 0.02592 13.4 7.1 15.2
0.0300 15.0 0.0670 0.02366 13.3 5.9 14.5
0.0300 15.0 0.1100 0.02278 13.7 6.4 15.2
0.0300 20.0 0.0110 0.03178 15.6 7.2 17.2
0.0300 20.0 0.0170 0.03851 14.0 6.2 15.4
0.0300 20.0 0.0270 0.03118 12.9 5.5 14.1
0.0300 20.0 0.0430 0.02917 12.9 5.5 14.0
0.0300 20.0 0.0670 0.02773 13.0 5.5 14.1
0.0300 20.0 0.1100 0.02288 13.5 5.8 14.7
0.0300 25.0 0.0110 0.03729 28.0 7.4 29.0
0.0300 25.0 0.0170 0.03875 14.3 6.3 15.6
0.0300 25.0 0.0270 0.03755 13.1 5.6 14.3
0.0300 25.0 0.0430 0.02978 13.1 4.7 14.0
0.0300 25.0 0.0670 0.02655 13.8 6.6 15.3
0.0300 25.0 0.1100 0.02491 13.1 6.4 14.5
0.0300 25.0 0.1700 0.02562 13.3 6.4 14.7
0.0300 35.0 0.0170 0.05337 18.9 6.1 19.9
0.0300 35.0 0.0270 0.04213 13.8 5.0 14.6
0.0300 35.0 0.0430 0.04063 14.0 4.6 14.7
0.0300 35.0 0.0670 0.03063 13.6 6.0 14.8
0.0300 35.0 0.1100 0.02992 13.4 6.3 14.8
0.0300 35.0 0.1700 0.02493 13.8 6.2 15.1
0.0300 35.0 0.2700 0.02840 13.5 6.6 15.1
0.0300 45.0 0.0270 0.05064 17.0 4.9 17.6
0.0300 45.0 0.0430 0.04048 14.3 4.4 15.0
0.0300 45.0 0.0670 0.03804 15.4 6.1 16.5
0.0300 45.0 0.1100 0.02427 14.6 6.6 16.0
0.0300 45.0 0.1700 0.02521 14.2 7.1 15.9
0.0300 45.0 0.2700 0.02092 14.4 6.5 15.8
0.0300 60.0 0.0430 0.03900 17.7 5.7 18.6
0.0300 60.0 0.0670 0.03913 14.7 5.2 15.6
0.0300 60.0 0.1100 0.02613 14.6 5.5 15.6
0.0300 60.0 0.1700 0.02548 14.3 8.2 16.5
0.0300 60.0 0.2700 0.02165 18.2 8.5 20.1
0.0300 60.0 0.4300 0.02698 14.7 8.7 17.1
0.0300 90.0 0.0670 0.03286 39.0 6.9 39.6
0.0300 90.0 0.1100 0.03379 18.5 4.5 19.1
0.0300 90.0 0.1700 0.03622 15.6 6.0 16.7
0.0300 90.0 0.2700 0.02668 15.4 5.5 16.4
0.0300 90.0 0.4300 0.03214 16.1 5.7 17.1
0.0300 90.0 0.6700 0.02818 24.5 7.9 25.8
0.0300 200.0 0.1100 0.03610 12.5 9.8 15.9
0.0300 200.0 0.1700 0.03310 12.1 9.5 15.4
0.0300 200.0 0.2700 0.02830 12.3 8.4 14.9
0.0300 200.0 0.4300 0.03090 12.4 8.2 14.9
0.0300 200.0 0.6700 0.02970 13.2 10.1 16.6
0.0300 400.0 0.2700 0.03220 13.5 9.9 16.7
0.0300 400.0 0.4300 0.02930 13.1 8.2 15.4
0.0300 400.0 0.6700 0.02890 13.7 10.2 17.0
0.0300 800.0 0.4300 0.03910 17.2 10.3 20.1
0.0300 800.0 0.6700 0.02280 18.3 11.6 21.6
0.0300 1600.0 0.6700 0.02140 30.0 12.8 32.6
