  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
   11     2       7       8.0      11.0      25.0      35.0     30.00    9.01e-01     14.50      8.82    -10.11     17.66    -18.34     1.00     1.00    -3.60     3.60    -1.21     1.21    -5.45     2.70     1.13    -1.37    -1.30     0.85    -0.30    -0.72     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     6.38     6.38     2.39    -2.39     0.954      1.66     1.055
   12     2       8       8.0      11.0      35.0      50.0     45.00    6.44e-02     73.09     50.68    -49.69     92.07    -91.53     1.00     1.00    27.62   -27.62   -21.18    21.18   -11.50    16.16    -2.32    -4.24    -2.40    -4.15    -6.09    -5.61     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00    32.07    32.07     4.08    -4.08     0.963      2.31     1.052
   13     2       1      11.0      16.0       5.0       7.0     10.00    2.37e+02      3.04      9.17     -8.46      9.68     -9.01     1.00     1.00    -1.97     1.97    -3.55     3.55     4.05    -3.40    -5.61     6.36    -0.55     0.50     0.42    -1.26     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.53     1.53     0.44    -0.44     0.885      3.59     1.020
   14     2       2      11.0      16.0       7.0      11.0     20.00    1.48e+02      2.07      4.38     -3.95      4.86     -4.48     1.00     1.00    -1.75     1.75     0.61    -0.61    -1.79     2.41    -0.57     1.12     0.10     0.16     0.41    -0.40     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.81     0.81     0.47    -0.47     0.913      3.23     1.024
   15     2       3      11.0      16.0      11.0      17.0     30.00    3.62e+01      2.67      6.97     -6.66      7.49     -7.20     1.00     1.00    -3.61     3.61     3.14    -3.14    -3.50     3.98    -0.01     0.57    -0.08     0.42     0.56    -0.45     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.82     0.82     0.84    -0.84     0.936      2.54     1.031
   16     2       5      11.0      16.0      17.0      25.0     40.00    6.82e+00      5.22      6.56     -6.51      8.54     -8.50     1.00     1.00    -3.95     3.95     0.63    -0.63    -3.99     4.02     0.73     0.06     0.01     0.11     0.32    -0.47     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.41     1.41     0.79    -0.79     0.957      2.23     1.046
   17     2       7      11.0      16.0      25.0      35.0     50.00    1.07e+00     13.50      7.39     -5.85     15.91    -15.25     1.00     1.00     0.09    -0.09     0.75    -0.75    -2.85     4.88     1.93    -0.12     1.06     1.00     1.03     0.31     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     3.68     3.68     1.79    -1.79     0.957      1.75     1.043
   18     2       8      11.0      16.0      35.0      50.0     75.00    1.24e-01     36.48     19.91    -19.50     41.07    -40.87     1.00     1.00    -5.81     5.81     8.71    -8.71    -9.18    10.27    -1.67    -0.37    -1.76     0.69     0.92    -0.62     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00    10.43    10.43     7.98    -7.98     0.963      3.01     0.985
   19     2       1      16.0      22.0       5.0       7.0     12.00    1.69e+02      3.79      8.74     -9.49      9.56    -10.26     1.00     1.00    -0.50     0.49     1.77    -1.77     3.86    -4.79    -7.25     6.83     0.48    -0.26     0.48    -0.47     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.80     1.80     0.31    -0.31     0.891      2.67     1.025
   20     2       2      16.0      22.0       7.0      11.0     24.00    1.14e+02      2.37      6.02     -6.34      6.48     -6.79     1.00     1.00    -4.12     4.12     2.97    -2.97    -1.68     1.02    -1.67     0.82    -0.08    -0.21     0.49    -0.60     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.82     0.82     0.43    -0.43     0.922      2.70     1.021
   21     2       3      16.0      22.0      11.0      17.0     36.00    2.72e+01      3.14      8.98     -9.44      9.55     -9.98     1.00     1.00    -5.89     5.89     5.30    -5.31    -4.09     3.01    -0.18    -0.57    -0.09    -0.50     0.06    -0.42     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.84     0.84     0.67    -0.67     0.942      2.59     1.031
   22     2       5      16.0      22.0      17.0      25.0     48.00    4.84e+00      6.74     10.54    -10.38     12.61    -12.48     1.00     1.00    -6.73     6.72     5.76    -5.76    -3.43     3.95     0.32    -0.52     0.14    -0.55    -0.09     0.03     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.80     1.80     2.46    -2.46     0.953      1.75     1.028
   23     2       7      16.0      22.0      25.0      35.0     60.00    7.86e-01     15.23     11.92     -9.59     19.93    -18.63     1.00     1.00    -5.42     5.42     4.83    -4.83    -2.00     7.16     0.17     0.21     0.52     1.37     1.23    -0.40     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     4.27     4.27     2.99    -2.99     0.956      1.45     1.048
   24     2       8      16.0      22.0      35.0      50.0     90.00    1.24e-01     41.38     30.53    -30.24     53.70    -53.53     1.00     1.00   -12.54    12.54    14.23   -14.23    -6.28     4.51     1.59    -0.23     6.17    -1.89    -0.16    -0.12     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00    21.44    21.44     6.64    -6.64     0.939     -0.28     1.067
   25     2       1      22.0      30.0       5.0       7.0     16.00    1.44e+02      4.20      8.94     -7.01      9.94     -8.24     1.00     1.00    -1.81     1.81    -1.41     1.41     4.14    -3.75    -4.35     6.80     0.52     0.81     0.49    -0.48     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.66     1.66     0.31    -0.31     0.898      2.08     1.030
   26     2       2      22.0      30.0       7.0      11.0     32.00    1.04e+02      2.40      3.98     -3.52      4.68     -4.29     1.00     1.00    -1.03     1.03     1.19    -1.19    -0.94     1.49    -0.86     1.64     0.07     0.29     0.34    -0.17     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.74     0.74     0.30    -0.30     0.929      2.25     1.028
   27     2       3      22.0      30.0      11.0      17.0     48.00    2.65e+01      3.13      7.02     -6.89      7.71     -7.60     1.00     1.00    -4.04     4.04     3.55    -3.55    -3.15     3.41     0.13     0.08    -0.15     0.20     0.47    -0.26     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.78     0.78     0.54    -0.54     0.946      2.40     1.023
   28     2       6      22.0      30.0      17.0      25.0     64.00    4.82e+00      6.51      7.86     -8.36     10.34    -10.72     1.00     1.00    -4.79     4.79     2.63    -2.63    -5.37     4.45     0.69    -0.10     0.48     0.37     0.64    -0.15     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.60     1.60     0.89    -0.89     0.960      1.99     1.031
   29     2       7      22.0      30.0      25.0      35.0     80.00    8.38e-01     13.52     12.57    -12.36     18.72    -18.57     1.00     1.00    -7.96     7.96     5.53    -5.53    -4.22     4.79     1.10     0.72    -0.30     0.19     0.16    -0.61     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     3.74     3.74     4.28    -4.28     0.954      2.49     1.025
   30     2       8      22.0      30.0      35.0      50.0    120.00    1.65e-01     27.75     20.47    -18.70     33.68    -32.63     1.00     1.00   -10.41    10.41     7.50    -7.50    -3.78     9.01    -2.27     3.18    -1.04    -0.56     1.89    -2.27     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     8.75     8.75     8.68    -8.68     0.951      1.15     0.964
   31     2       1      30.0      42.0       5.0       7.0     24.00    1.16e+02      5.39      8.87     -8.32     10.48    -10.01     1.00     1.00    -0.86     0.86    -0.28     0.28     3.78    -3.79    -6.27     7.01     0.96    -1.02    -0.39     0.06     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     2.38     2.38     0.51    -0.51     0.901      1.50     1.034
   32     2       2      30.0      42.0       7.0      11.0     48.00    9.39e+01      2.68      5.64     -5.52      6.28     -6.17     1.00     1.00    -3.60     3.60     2.63    -2.63    -0.76     1.09    -1.18     1.51     0.21    -0.33     0.11    -0.34     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.88     0.88     0.20    -0.20     0.937      1.80     1.028
   33     2       3      30.0      42.0      11.0      17.0     72.00    2.67e+01      3.06      5.77     -5.91      6.58     -6.70     1.00     1.00    -2.34     2.34     3.29    -3.29    -3.19     2.92     0.12     0.29    -0.09    -0.14     0.18    -0.25     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.74     0.74     0.39    -0.39     0.952      2.04     1.035
   34     2       6      30.0      42.0      17.0      25.0     96.00    5.11e+00      6.20      8.91     -8.96     10.95    -10.99     1.00     1.00    -5.58     5.58     4.83    -4.82    -3.84     3.64     0.76    -0.40     0.36    -0.13     0.26    -0.08     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.53     1.53     0.96    -0.96     0.960      1.56     1.027
   35     2       7      30.0      42.0      25.0      35.0    120.00    8.37e-01     14.44     10.54     -8.09     18.21    -16.91     1.00     1.00     2.65    -2.65    -2.11     2.11    -4.65     7.99     0.34    -0.89    -0.25     1.76     1.08     0.25     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     4.31     4.31     2.28    -2.28     0.962      1.83     1.028
   36     2       8      30.0      42.0      35.0      50.0    180.00    1.26e-01     35.97     29.85    -29.37     47.94    -47.64     1.00     1.00   -15.50    15.50    17.90   -17.89    -1.07     5.29     2.89    -2.89     3.30    -2.29    -2.18     0.75     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00    15.29    15.29     6.45    -6.45     0.956      3.02     1.043
   37     2       2      42.0      60.0       5.0       7.0     36.00    1.04e+02      5.17      7.57     -6.86      9.30     -8.73     1.00     1.00    -1.65     1.65    -0.41     0.41     2.96    -2.96    -4.91     5.86     0.03     0.02     0.41    -0.38     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.82     1.82     0.47    -0.47     0.900      1.02     1.044
   38     2       3      42.0      60.0       7.0      11.0     72.00    8.76e+01      2.53      5.30     -5.20      5.90     -5.81     1.00     1.00    -3.18     3.18     2.34    -2.34    -1.36     1.58    -1.16     1.32     0.08     0.24     0.25    -0.30     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.69     0.69     0.26    -0.26     0.945      1.26     1.028
   39     2       3      42.0      60.0      11.0      17.0    108.00    2.51e+01      3.14      6.23     -6.14      7.01     -6.92     1.00     1.00    -2.78     2.78     3.08    -3.08    -3.47     3.61     0.03     0.28     0.31     0.22     0.35    -0.25     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.72     0.72     0.42    -0.42     0.959      1.83     1.017
   40     2       6      42.0      60.0      17.0      25.0    144.00    5.09e+00      6.71     13.18    -13.33     14.90    -15.03     1.00     1.00    -8.59     8.59     8.11    -8.12    -5.00     4.63     0.16    -0.52    -0.13    -0.05     0.08    -0.17     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     2.05     2.05     0.99    -0.99     0.965      1.77     1.034
   41     2       8      42.0      60.0      25.0      35.0    180.00    9.44e-01     13.76      7.96     -9.74     16.38    -17.32     1.00     1.00    -1.41     1.41     3.46    -3.46    -7.22     4.61     1.00     0.11    -1.23    -0.09    -0.62    -0.80     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     3.62     3.62     2.44    -2.44     0.954      2.54     1.040
   42     2       9      42.0      60.0      35.0      50.0    270.00    1.09e-01     35.24     29.36    -30.09     45.53    -46.01     1.00     1.00    -9.47     9.47    21.10   -21.10    -7.87     8.85     1.17     1.20    -7.85    -2.37     0.43    -2.06     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00    12.70    12.70     8.51    -8.51     0.968     -0.55     0.988
   43     2       2      60.0      80.0       5.0       7.0     40.00    7.04e+01      5.87      8.91     -8.38     10.83    -10.41     1.00     1.00    -3.94     3.94    -3.54     3.54     1.49    -2.18    -4.77     6.03    -1.40     0.23    -0.08    -0.33     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.97     1.97     1.08    -1.08     0.894      0.46     1.050
   44     2       3      60.0      80.0       7.0      11.0     80.00    5.59e+01      3.69      7.21     -7.44      8.15     -8.35     1.00     1.00    -5.53     5.53     1.18    -1.18    -2.14     1.68    -2.95     2.82    -1.03     0.46     0.22    -0.39     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.03     1.03     0.40    -0.40     0.948      0.71     1.029
   45     2       4      60.0      80.0      11.0      17.0    120.00    1.81e+01      4.45      6.47     -7.22      7.88     -8.50     1.00     1.00    -4.25     4.25     2.26    -2.26    -3.82     3.05    -2.12     0.40    -0.74    -0.17    -0.09    -0.31     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.17     1.17     0.47    -0.47     0.966      1.38     1.009
   46     2       6      60.0      80.0      17.0      25.0    160.00    3.41e+00      9.51      9.19     -8.21     13.35    -12.70     1.00     1.00    -4.30     4.30     1.95    -1.94    -5.07     6.59    -0.90     1.48    -1.84     1.10     0.53    -0.56     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     2.38     2.38     1.33    -1.33     0.963      2.23     1.019
   47     2       8      60.0      80.0      25.0      35.0    200.00    4.63e-01     26.92     15.46    -10.72     32.11    -30.11     1.00     1.00    -4.08     4.08    -1.85     1.86    -3.40     9.29     1.71     1.01     6.84     1.79     1.14     2.26     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     7.91     7.91     2.76    -2.76     0.960      1.12     1.045
   48     2       9      60.0      80.0      35.0      50.0    300.00    9.99e-02     45.85     25.94    -24.38     51.44    -50.67     1.00     1.00    -2.29     2.29    16.89   -16.90    -7.73    11.68     1.83     0.82     0.83     0.87    -1.44    -1.06     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00    14.39    14.39     5.08    -5.08     0.960      2.24     0.969
